Athlete,Time,School,Course,Year
Hailey Winkelman,25:43.2,Monroe,Cass Benton,2018
Morelia Rosas-Martinez,26:00.2,Ann Arbor Huron,Cass Benton,2018
Chloe Gunter,26:15.2,Monroe,Cass Benton,2018
Yanisa Aquino,27:21.0,Ann Arbor Huron,Cass Benton,2018
Rio Ohtake,27:58.3,Ann Arbor Huron,Cass Benton,2018
Alexus Baldwin,28:11.5,Monroe,Cass Benton,2018
Quinn Fowler,28:12.4,Monroe,Cass Benton,2018
Ashlyn Hojnowski,28:12.7,Monroe,Cass Benton,2018
Yasmine Mansi,18:39.0,Northville,Cass Benton,2018
Lauren Kiley,18:56.5,Plymouth,Cass Benton,2018
Nicole Cybul,19:09.0,Northville,Cass Benton,2018
Londyn Swenson,20:10.5,Plymouth,Cass Benton,2018
Emily Gordon,20:26.7,Northville,Cass Benton,2018
Keira Courtney,20:41.9,Northville,Cass Benton,2018
Olivia Harp,21:04.3,Northville,Cass Benton,2018
Maggie Zimmermann,21:34.1,Hartland,Cass Benton,2018
Isabella Schmenk,21:44.1,Hartland,Cass Benton,2018
Erin Vimr,21:44.5,Hartland,Cass Benton,2018
Paige Cristea,21:45.1,Plymouth,Cass Benton,2018
Lily Tiplady,21:46.1,Plymouth,Cass Benton,2018
Lily Wilczewski,21:56.2,Northville,Cass Benton,2018
Erin Trombly,21:59.4,Plymouth,Cass Benton,2018
Abigail O'Connell,22:06.5,Northville,Cass Benton,2018
Elle Slater,22:11.0,Northville,Cass Benton,2018
Mackenzie Allan,22:18.0,Hartland,Cass Benton,2018
Sasha Fox,22:22.4,Plymouth,Cass Benton,2018
Ana White,22:23.0,Plymouth,Cass Benton,2018
Sinclare Smith,22:29.0,Northville,Cass Benton,2018
Lindsay Ripple,22:36.1,Plymouth,Cass Benton,2018
Rachel Glovatsky,22:47.3,Plymouth,Cass Benton,2018
Adriana Courtney,22:51.7,Northville,Cass Benton,2018
Carmen Raad,22:58.0,Northville,Cass Benton,2018
Jenna Lauderback,23:05.2,Northville,Cass Benton,2018
Madison Toor,23:08.4,Hartland,Cass Benton,2018
Nicole Martin,23:11.5,Northville,Cass Benton,2018
Sydney Caddell,23:13.0,Hartland,Cass Benton,2018
Elise Jund,23:13.4,Northville,Cass Benton,2018
Moriah Ma,23:21.0,Plymouth,Cass Benton,2018
Kate Worley,23:34.7,Northville,Cass Benton,2018
Olivia Schafer,23:37.2,Plymouth,Cass Benton,2018
Kate Baker,23:38.1,Northville,Cass Benton,2018
Sarah Coyne,23:39.8,Plymouth,Cass Benton,2018
Lindsay Afsari,23:41.5,Northville,Cass Benton,2018
Sophie Mahnken,23:44.0,Plymouth,Cass Benton,2018
Paige Ciuzicki,23:45.9,Hartland,Cass Benton,2018
Madeleine Wisniewski,24:03.2,Hartland,Cass Benton,2018
Sophie Hartwick,24:08.4,Hartland,Cass Benton,2018
Alicia Qin,24:14.7,Plymouth,Cass Benton,2018
Abby Smith,24:16.3,Hartland,Cass Benton,2018
Madeline Steffe,24:16.7,Hartland,Cass Benton,2018
Peyton Thibodeau,24:18.9,Hartland,Cass Benton,2018
Maliya Seelbinder,24:22.8,Hartland,Cass Benton,2018
Maddie Murphy,24:28.5,Hartland,Cass Benton,2018
Samantha Rivera,24:37.4,Northville,Cass Benton,2018
Gabriella Feliks,24:38.2,Northville,Cass Benton,2018
Dora Koski,24:51.9,Northville,Cass Benton,2018
Skylar Dixon,24:53.3,Hartland,Cass Benton,2018
Grace Daavetila,24:57.4,Hartland,Cass Benton,2018
Hanna Trajlov,25:07.4,Plymouth,Cass Benton,2018
Samantha Foster,25:22.3,Plymouth,Cass Benton,2018
Madilyn Smith,25:33.8,Plymouth,Cass Benton,2018
Olivia Mangion,25:36.1,Plymouth,Cass Benton,2018
Maddie Bagnasco,25:56.1,Plymouth,Cass Benton,2018
Abby Ludtke,25:57.5,Northville,Cass Benton,2018
Cora Wallen,26:00.5,Plymouth,Cass Benton,2018
I'anah Harris,26:39.2,Plymouth,Cass Benton,2018
Amelia Meaney,26:47.9,Hartland,Cass Benton,2018
Katie Peterson,27:00.6,Hartland,Cass Benton,2018
Francine Rosinski,27:02.4,Hartland,Cass Benton,2018
Rachel Mickey,27:06.1,Plymouth,Cass Benton,2018
Lynnae Fisher,27:06.6,Plymouth,Cass Benton,2018
Sophia Singles,27:21.1,Hartland,Cass Benton,2018
Emily Green,27:36.9,Hartland,Cass Benton,2018
Veronica Pargulski,27:47.6,Hartland,Cass Benton,2018
Cate Whelan,28:54.4,Plymouth,Cass Benton,2018
Kimberly Westra,30:23.6,Northville,Cass Benton,2018
Katerina Ondryskova,35:11.6,Plymouth,Cass Benton,2018
Lauren Kiley,18:37,Plymouth,Cass Benton,2018
Londyn Swenson,19:12,Plymouth,Cass Benton,2018
Katherine Ray,20:06,Novi,Cass Benton,2018
Morgan Crompton,20:26,Brighton,Cass Benton,2018
Morgan Waggoner,20:42,Brighton,Cass Benton,2018
Hannah Tsiang,20:48,Brighton,Cass Benton,2018
Paige Cristea,20:54,Plymouth,Cass Benton,2018
Maddie Brown,21:07,Brighton,Cass Benton,2018
Katie Carothers,21:08,Brighton,Cass Benton,2018
Ana White,21:15,Plymouth,Cass Benton,2018
Emma Notaro,21:17,Brighton,Cass Benton,2018
Megan Foster,21:23,Brighton,Cass Benton,2018
Sasha Fox,21:26,Plymouth,Cass Benton,2018
Emily House,21:36,Brighton,Cass Benton,2018
Lindsay Ripple,21:39,Plymouth,Cass Benton,2018
Lily Tiplady,21:56,Plymouth,Cass Benton,2018
Allyson Smolarek,21:56,Novi,Cass Benton,2018
Saranya Nistala,22:12,Novi,Cass Benton,2018
Rachel Fusik,22:16,Brighton,Cass Benton,2018
Rachel Glovatsky,22:23,Plymouth,Cass Benton,2018
Madison BeDuhn,22:32,Novi,Cass Benton,2018
Ashna Talukder,22:37,Novi,Cass Benton,2018
Emily Sedewitz,22:54,Novi,Cass Benton,2018
Miriam Klenke,22:54,Novi,Cass Benton,2018
Sarah Coyne,22:59,Plymouth,Cass Benton,2018
Moriah Ma,23:08,Plymouth,Cass Benton,2018
Sophie Mahnken,23:24,Plymouth,Cass Benton,2018
Megan Korch,23:26,Brighton,Cass Benton,2018
Ellie Stark,23:27,Brighton,Cass Benton,2018
Olivia Mangion,23:29,Plymouth,Cass Benton,2018
Alicia Qin,23:35,Plymouth,Cass Benton,2018
Allison Shareck,23:40,Brighton,Cass Benton,2018
Madilyn Smith,24:00:00,Plymouth,Cass Benton,2018
Ebba Knutsson,24:03:00,Brighton,Cass Benton,2018
Ciel Zhong,24:04:00,Novi,Cass Benton,2018
Pearl Kurian,24:09:00,Novi,Cass Benton,2018
Katherine Dong,24:35:00,Novi,Cass Benton,2018
Samantha Foster,24:45:00,Plymouth,Cass Benton,2018
Jane Hepp,24:46:00,Novi,Cass Benton,2018
Hanna Trajlov,24:48:00,Plymouth,Cass Benton,2018
Hannah Carney,24:58:00,Brighton,Cass Benton,2018
Prachi Fozdar,25:03:00,Novi,Cass Benton,2018
I'anah Harris,25:05:00,Plymouth,Cass Benton,2018
Kayleigh Frederick,25:16:00,Brighton,Cass Benton,2018
Corrina Worthing,25:17:00,Brighton,Cass Benton,2018
Madison Schmitz,25:18:00,Brighton,Cass Benton,2018
Jayashree Sundaram,25:39:00,Novi,Cass Benton,2018
Rachel Mickey,25:44:00,Plymouth,Cass Benton,2018
Lynnae Fisher,25:50:00,Plymouth,Cass Benton,2018
Alice Wou,25:59:00,Novi,Cass Benton,2018
Tara Morren,26:11:00,Plymouth,Cass Benton,2018
Morgan Kraly,26:13:00,Plymouth,Cass Benton,2018
Maria Ficaro,26:15:00,Brighton,Cass Benton,2018
Grace Carney,26:41:00,Brighton,Cass Benton,2018
Lucia Choi,26:43:00,Novi,Cass Benton,2018
Ellen Peterson,26:56:00,Brighton,Cass Benton,2018
Cate Whelan,26:58:00,Plymouth,Cass Benton,2018
Moeka Shiokawa,27:15:00,Novi,Cass Benton,2018
Netra Jayagopal,28:32:00,Novi,Cass Benton,2018
Isabel Sanabria,28:39:00,Plymouth,Cass Benton,2018
Kimberly Westra,29:03:00,Plymouth,Cass Benton,2018
Srushti Pandya,31:38:00,Novi,Cass Benton,2018
Rachel Forsyth,18:59.9,Ann Arbor Pioneer,Pioneer,2020
Cookie Baugh,19:09.3,Ann Arbor Pioneer,Pioneer,2020
Anna Dudek,20:35.3,Ann Arbor Pioneer,Pioneer,2020
Emily Cooper,20:58.7,Ann Arbor Pioneer,Pioneer,2020
Trilian Krug,21:16.7,Chelsea,Pioneer,2020
Charlotte Batra,21:18.0,Ann Arbor Pioneer,Pioneer,2020
Riley Thorburn,21:26.2,Chelsea,Pioneer,2020
Sylvia Sanok Dufallo,21:38.1,Ann Arbor Pioneer,Pioneer,2020
Audra Guthre,21:53.9,Chelsea,Pioneer,2020
Seren Angus,22:10.4,Chelsea,Pioneer,2020
Kate Gaiser,22:24.5,Chelsea,Pioneer,2020
Lauren Jamsen,22:29.2,Ann Arbor Pioneer,Pioneer,2020
Allison Nutt,22:39.7,Ann Arbor Pioneer,Pioneer,2020
Julia Kause,23:13.2,Chelsea,Pioneer,2020
Rachel Bullock,23:34.9,Chelsea,Pioneer,2020
Mia Berens,23:44.5,Ann Arbor Pioneer,Pioneer,2020
Sarah Kennings,25:35.6,Chelsea,Pioneer,2020
Cookie Baugh,18:36.8,Ann Arbor Pioneer,Pioneer,2020
Katie Carothers,19:06.6,Brighton,Pioneer,2020
Rachel Forsyth,19:42.0,Ann Arbor Pioneer,Pioneer,2020
Carrigan Eberly,19:55.2,Brighton,Pioneer,2020
Charlotte Batra,20:10.5,Ann Arbor Pioneer,Pioneer,2020
Anna Dudek,20:14.4,Ann Arbor Pioneer,Pioneer,2020
Emily Cooper,20:30.9,Ann Arbor Pioneer,Pioneer,2020
Amanda Simon,20:35.2,Brighton,Pioneer,2020
Sylvia Sanok Dufallo,20:46.6,Ann Arbor Pioneer,Pioneer,2020
Amelia Kashian,21:12.4,Brighton,Pioneer,2020
Ellie Stark,21:15.0,Brighton,Pioneer,2020
Karly Lynch,21:23.9,Brighton,Pioneer,2020
Hannah Tsiang,21:35.0,Brighton,Pioneer,2020
Morgan Crompton,21:54.2,Brighton,Pioneer,2020
Lauren Jamsen,22:07.3,Ann Arbor Pioneer,Pioneer,2020
Allison Nutt,22:10.0,Ann Arbor Pioneer,Pioneer,2020
Gabrielle Bolitho,22:16.0,Brighton,Pioneer,2020
Genna Novara,22:27.2,Ann Arbor Pioneer,Pioneer,2020
Mia Berens,22:34.6,Ann Arbor Pioneer,Pioneer,2020
Eleanor Vogel,22:40.0,Ann Arbor Pioneer,Pioneer,2020
Lydia Bowman,22:42.4,Ann Arbor Pioneer,Pioneer,2020
Emilee Balzer,22:57.9,Brighton,Pioneer,2020
Andrea Repyak,22:58.0,Brighton,Pioneer,2020
Rachel Forsyth,18:44.5,Ann Arbor Pioneer,Pioneer,2020
Cookie Baugh,18:45.2,Ann Arbor Pioneer,Pioneer,2020
Jennie Line,18:54.3,Northville,Pioneer,2020
Yasmine Mansi,19:24.7,Northville,Pioneer,2020
Sylvia Sanok Dufallo,20:09.9,Ann Arbor Pioneer,Pioneer,2020
Emily Cooper,20:14.2,Ann Arbor Pioneer,Pioneer,2020
Charlotte Batra,20:31.7,Ann Arbor Pioneer,Pioneer,2020
Janie DeGroot,20:39.9,Northville,Pioneer,2020
Gina Couyoumjian,20:45.1,Northville,Pioneer,2020
Anna Dudek,20:54.8,Ann Arbor Pioneer,Pioneer,2020
Keira Courtney,21:03.1,Northville,Pioneer,2020
Ella Christensen,21:03.8,Northville,Pioneer,2020
Emily Gordon,21:38.0,Northville,Pioneer,2020
Elise Jund,21:42.5,Northville,Pioneer,2020
Lauren Jamsen,21:44.5,Ann Arbor Pioneer,Pioneer,2020
Allison Nutt,21:48.1,Ann Arbor Pioneer,Pioneer,2020
Lily Connors,21:52.3,Northville,Pioneer,2020
Natalie Havristiuc,21:55.3,Northville,Pioneer,2020
Avery Peters,22:08.1,Northville,Pioneer,2020
Eleanor Vogel,22:16.2,Ann Arbor Pioneer,Pioneer,2020
Rachel Forsyth,18:10.0,Ann Arbor Pioneer,Pioneer,2020
Cookie Baugh,18:28.9,Ann Arbor Pioneer,Pioneer,2020
Charlotte Batra,19:38.2,Ann Arbor Pioneer,Pioneer,2020
Madi Wood,19:38.2,Saline,Pioneer,2020
Laney Alig,19:45.7,Saline,Pioneer,2020
Lydia Alig,19:48.5,Saline,Pioneer,2020
Madison Stern,19:50.9,Saline,Pioneer,2020
Claire Endres,20:13.9,Saline,Pioneer,2020
Emily Cooper,20:22.9,Ann Arbor Pioneer,Pioneer,2020
Sylvia Sanok Dufallo,20:41.7,Ann Arbor Pioneer,Pioneer,2020
Anna Dudek,20:47.6,Ann Arbor Pioneer,Pioneer,2020
Aubrey Stager,21:04.6,Saline,Pioneer,2020
Lucy Woehlke,21:14.4,Saline,Pioneer,2020
Lauren Jamsen,21:25.2,Ann Arbor Pioneer,Pioneer,2020
Allison Nutt,21:26.7,Ann Arbor Pioneer,Pioneer,2020
Amanda Lin,21:45.7,Saline,Pioneer,2020
Mia Berens,22:34.8,Ann Arbor Pioneer,Pioneer,2020
Mara Krupka,22:55.6,Ann Arbor Pioneer,Pioneer,2020
Paige Hockley,23:03.9,Ann Arbor Pioneer,Pioneer,2020
Avery Bogdasarian,23:08.8,Saline,Pioneer,2020
Bailey Burt,23:27.6,Saline,Pioneer,2020
Lauren Kiley,18:57.5,Plymouth,Cass Benton,2020
Lindsay Ripple,20:33.5,Plymouth,Cass Benton,2020
Lydia Alig,20:35.0,Saline,Cass Benton,2020
Londyn Swenson,20:43.1,Plymouth,Cass Benton,2020
Claire Endres,20:54.0,Saline,Cass Benton,2020
Aubrey Stager,21:24.4,Saline,Cass Benton,2020
Madison Stern,21:34.5,Saline,Cass Benton,2020
Laney Alig,21:39.5,Saline,Cass Benton,2020
Sarah Coyne,21:54.6,Plymouth,Cass Benton,2020
Aliya Kurian,22:21.4,Plymouth,Cass Benton,2020
Lucy Woehlke,22:44.4,Saline,Cass Benton,2020
Claudia Swenson,23:23.7,Plymouth,Cass Benton,2020
Rebecca Rummel,24:09.6,Saline,Cass Benton,2020
Megan Olson,24:29.8,Plymouth,Cass Benton,2020
Kate Fredericks,24:42.9,Saline,Cass Benton,2020
Avery Bogdasarian,25:08.8,Saline,Cass Benton,2020
Alicia Qin,25:20.1,Plymouth,Cass Benton,2020
Olivia Pincock,25:21.6,Plymouth,Cass Benton,2020
Bailey Burt,25:42.9,Saline,Cass Benton,2020
Tessa Meyers,25:48.8,Saline,Cass Benton,2020
Maekayla Rice,26:30.6,Saline,Cass Benton,2020
Madilyn Smith,26:44.1,Plymouth,Cass Benton,2020
Emma Grill,26:58.2,Saline,Cass Benton,2020
Tara Morren,27:00.0,Plymouth,Cass Benton,2020
Ella Horn,27:13.7,Plymouth,Cass Benton,2020
Megan Coyne,27:49.3,Plymouth,Cass Benton,2020
Jillian Kight,27:56.4,Plymouth,Cass Benton,2020
Trinity Almaraj,28:37.0,Plymouth,Cass Benton,2020
Brooklyn Radwan,28:46.6,Plymouth,Cass Benton,2020
Camryn Schwartz,28:47.6,Plymouth,Cass Benton,2020
Amanda Lin,28:59.8,Saline,Cass Benton,2020
Lauren Franceschi,29:19.9,Plymouth,Cass Benton,2020
Aya Abuzama,29:43.0,Plymouth,Cass Benton,2020
Lily Samulski,31:11.5,Plymouth,Cass Benton,2020
Megan Hansen,31:15.7,Plymouth,Cass Benton,2020
Kimberly Westra,31:45.5,Plymouth,Cass Benton,2020
Olivia Mangion,31:47.9,Plymouth,Cass Benton,2020
Lauren Kiley,18:36.8,Plymouth,Cass Benton,2020
Katie Carothers,18:53.7,Brighton,Cass Benton,2020
Londyn Swenson,19:06.4,Plymouth,Cass Benton,2020
Amanda Simon,19:50.3,Brighton,Cass Benton,2020
Sarah Coyne,19:50.4,Plymouth,Cass Benton,2020
Carrigan Eberly,19:51.9,Brighton,Cass Benton,2020
Amelia Kashian,20:12.4,Brighton,Cass Benton,2020
Nikki Carothers,20:14.9,Brighton,Cass Benton,2020
Ellie Stark,20:33.2,Brighton,Cass Benton,2020
Mariella Ma,20:49.0,Plymouth,Cass Benton,2020
Lindsay Ripple,20:51.7,Plymouth,Cass Benton,2020
Aliya Kurian,20:54.3,Plymouth,Cass Benton,2020
Sasha Fox,21:09.9,Plymouth,Cass Benton,2020
Andrea Repyak,21:19.5,Brighton,Cass Benton,2020
Megan Kowalski,21:22.8,Brighton,Cass Benton,2020
Claudia Swenson,21:34.7,Plymouth,Cass Benton,2020
Megan Olson,22:06.0,Plymouth,Cass Benton,2020
Paige Cristea,22:08.9,Plymouth,Cass Benton,2020
Erin Trombly,22:18.7,Plymouth,Cass Benton,2020
Abby Watkins,22:28.1,Brighton,Cass Benton,2020
Gabrielle Bolitho,22:48.0,Brighton,Cass Benton,2020
Emilee Balzer,22:49.7,Brighton,Cass Benton,2020
Maddie Bagnasco,22:51.8,Plymouth,Cass Benton,2020
Heather Woodward,23:16.2,Brighton,Cass Benton,2020
Ella Horn,23:27.0,Plymouth,Cass Benton,2020
Megan Coyne,23:34.9,Plymouth,Cass Benton,2020
Alicia Qin,23:40.2,Plymouth,Cass Benton,2020
Caleigh Hurley,24:23.9,Brighton,Cass Benton,2020
Morgan Waggoner,24:31.9,Brighton,Cass Benton,2020
Natalie Syversen,24:32.6,Brighton,Cass Benton,2020
Tara Morren,24:46.8,Plymouth,Cass Benton,2020
Tia MacLennan,24:59.1,Brighton,Cass Benton,2020
Lauren Franceschi,25:15.6,Plymouth,Cass Benton,2020
Trinity Almaraj,25:17.8,Plymouth,Cass Benton,2020
Madilyn Smith,25:26.6,Plymouth,Cass Benton,2020
Jillian Kight,25:39.8,Plymouth,Cass Benton,2020
April Horn,25:42.5,Plymouth,Cass Benton,2020
Lauren Kiley,18:19.9,Plymouth,Cass Benton,2020
Jennie Line,18:46.7,Northville,Cass Benton,2020
Londyn Swenson,19:06.3,Plymouth,Cass Benton,2020
Yasmine Mansi,19:15.7,Northville,Cass Benton,2020
Lindsay Ripple,19:55.5,Plymouth,Cass Benton,2020
Sarah Coyne,20:04.8,Plymouth,Cass Benton,2020
Janie DeGroot,20:13.5,Northville,Cass Benton,2020
Gina Couyoumjian,20:15.2,Northville,Cass Benton,2020
Ella Christensen,20:19.1,Northville,Cass Benton,2020
Emily Gordon,20:24.1,Northville,Cass Benton,2020
Keira Courtney,20:28.1,Northville,Cass Benton,2020
Aliya Kurian,20:53.5,Plymouth,Cass Benton,2020
Elise Jund,21:09.3,Northville,Cass Benton,2020
Sasha Fox,21:30.1,Plymouth,Cass Benton,2020
Mariella Ma,21:31.3,Plymouth,Cass Benton,2020
Claudia Swenson,21:31.8,Plymouth,Cass Benton,2020
Natalie Havristiuc,21:38.2,Northville,Cass Benton,2020
Avery Peters,21:47.2,Northville,Cass Benton,2020
Erin Trombly,21:57.7,Plymouth,Cass Benton,2020
Megan Olson,22:24.6,Plymouth,Cass Benton,2020
Carman Raad,22:26.6,Northville,Cass Benton,2020
Brooklyn Stack,22:44.8,Northville,Cass Benton,2020
Megan Skrade,22:53.6,Northville,Cass Benton,2020
Paige Cristea,22:56.9,Plymouth,Cass Benton,2020
Maddie Bagnasco,23:15.2,Plymouth,Cass Benton,2020
Samantha Rivera,23:24.6,Northville,Cass Benton,2020
Ella Horn,23:31.4,Plymouth,Cass Benton,2020
Anna Gdowski,23:38.9,Northville,Cass Benton,2020
Elizabeth Grant,23:41.4,Northville,Cass Benton,2020
Olivia Pincock,23:50.0,Plymouth,Cass Benton,2020
Katie Kehoe,23:56.7,Northville,Cass Benton,2020
Natali Lindenmeyer,23:57.0,Northville,Cass Benton,2020
Alicia Qin,23:58.1,Plymouth,Cass Benton,2020
Camryn Schwartz,24:05.4,Plymouth,Cass Benton,2020
Abby Ludtke,24:07.7,Northville,Cass Benton,2020
Olivia Green,24:09.7,Northville,Cass Benton,2020
Kate Baker,24:13.5,Northville,Cass Benton,2020
Anja Olsen,24:22.6,Northville,Cass Benton,2020
Megan Coyne,24:49.1,Plymouth,Cass Benton,2020
Saanvi Reddy,24:52.7,Northville,Cass Benton,2020
Tara Morren,25:10.7,Plymouth,Cass Benton,2020
Casey Leonard,25:20.2,Northville,Cass Benton,2020
Trinity Almaraj,25:22.8,Plymouth,Cass Benton,2020
Syona Gupta,25:46.6,Northville,Cass Benton,2020
Jillian Kight,26:04.7,Plymouth,Cass Benton,2020
Madilyn Smith,26:08.4,Plymouth,Cass Benton,2020
April Horn,26:10.0,Plymouth,Cass Benton,2020
Cate Leneschmidt,26:15.4,Northville,Cass Benton,2020
Cassie Guerrera,26:24.1,Northville,Cass Benton,2020
Sophie Mahnken,26:25.6,Plymouth,Cass Benton,2020
Melina Moustakeas,26:29.8,Northville,Cass Benton,2020
Rachel Forsyth,17:44.5,Ann Arbor Pioneer,Indian Creek,2020
Madison Foster,17:59.9,Temperance Bedford,Indian Creek,2020
Cookie Baugh,18:14.5,Ann Arbor Pioneer,Indian Creek,2020
Sam Hastie,18:47.4,Ann Arbor Huron,Indian Creek,2020
Lydia Alig,18:49.7,Saline,Indian Creek,2020
Madison Stern,19:09.4,Saline,Indian Creek,2020
Viktoria Bloniarz,19:12.8,Monroe,Indian Creek,2020
Madi Wood,19:18.4,Saline,Indian Creek,2020
Laney Alig,19:20.4,Saline,Indian Creek,2020
Aubrey Stager,19:39.6,Saline,Indian Creek,2020
Charlotte Batra,19:44.1,Ann Arbor Pioneer,Indian Creek,2020
Lauren Sancrant,19:44.2,Temperance Bedford,Indian Creek,2020
Emily Cooper,19:47.5,Ann Arbor Pioneer,Indian Creek,2020
Sarah Forsyth,19:54.8,Ann Arbor Pioneer,Indian Creek,2020
Lydia Cocciolone,19:55.8,Ann Arbor Skyline,Indian Creek,2020
Alyssa Dorn,19:59.2,Temperance Bedford,Indian Creek,2020
Claire Endres,20:16.2,Saline,Indian Creek,2020
Rachel Overgaard,20:22.0,Ann Arbor Huron,Indian Creek,2020
Lucy Woehlke,20:23.1,Saline,Indian Creek,2020
Catrin Koselka,20:33.3,Ann Arbor Skyline,Indian Creek,2020
Laura O'Brien,20:34.2,Ann Arbor Skyline,Indian Creek,2020
Sylvia Sanok Dufallo,20:34.7,Ann Arbor Pioneer,Indian Creek,2020
Anna Dudek,20:36.2,Ann Arbor Pioneer,Indian Creek,2020
Katelyn Dec,20:47.0,Temperance Bedford,Indian Creek,2020
Allison Mayer,20:49.7,Ann Arbor Skyline,Indian Creek,2020
Bridgette Dudley,20:51.9,Monroe,Indian Creek,2020
Sonya Shelgikar,20:56.8,Ann Arbor Huron,Indian Creek,2020
Madi Heinrichs,20:59.8,Temperance Bedford,Indian Creek,2020
Natalie Kessler,21:01.1,Ann Arbor Skyline,Indian Creek,2020
Emiko Sano,21:16.9,Ann Arbor Huron,Indian Creek,2020
Morgan Kay,21:22.9,Monroe,Indian Creek,2020
Mia Solomon,21:25.7,Ann Arbor Huron,Indian Creek,2020
Sierra Lubetkin,21:31.5,Ann Arbor Skyline,Indian Creek,2020
Audrey Wells,21:43.8,Ann Arbor Skyline,Indian Creek,2020
Emma Bushroe,21:55.4,Temperance Bedford,Indian Creek,2020
Faith Butler,22:03.4,Monroe,Indian Creek,2020
Karly Bundon,22:06.2,Monroe,Indian Creek,2020
Chloe Gunter,22:27.8,Monroe,Indian Creek,2020
Grace Finley,22:30.0,Monroe,Indian Creek,2020
Samantha Sexton,22:36.7,Temperance Bedford,Indian Creek,2020
Lauren Kiley,18:33.2,Plymouth,Hudson Mills,2020
Olivia Millen,18:54.8,Salem,Hudson Mills,2020
Sam Hastie,19:11.1,Ann Arbor Huron,Hudson Mills,2020
Londyn Swenson,19:28.7,Plymouth,Hudson Mills,2020
Amanda McGill,19:37.3,Dexter,Hudson Mills,2020
Arianna Ontko,19:39.7,Canton,Hudson Mills,2020
Sarah Coyne,19:43.0,Plymouth,Hudson Mills,2020
Cara Newman,19:51.3,Canton,Hudson Mills,2020
Aliya Kurian,20:16.0,Plymouth,Hudson Mills,2020
Alexis Pickerel,20:20.5,Canton,Hudson Mills,2020
Reagan Justice,20:29.0,Salem,Hudson Mills,2020
Isabell Kulick,20:29.1,Salem,Hudson Mills,2020
Lydia Cocciolone,20:32.8,Ann Arbor Skyline,Hudson Mills,2020
Natalie Kessler,20:43.5,Ann Arbor Skyline,Hudson Mills,2020
Thea Schley,20:45.0,Canton,Hudson Mills,2020
Laura O'Brien,20:45.1,Ann Arbor Skyline,Hudson Mills,2020
Allison Stowe,20:45.8,Salem,Hudson Mills,2020
Sanya Ahmed,20:48.1,Canton,Hudson Mills,2020
Rachel Overgaard,20:50.2,Ann Arbor Huron,Hudson Mills,2020
Catrin Koselka,20:51.0,Ann Arbor Skyline,Hudson Mills,2020
Mariella Ma,20:51.6,Plymouth,Hudson Mills,2020
Allison Mayer,20:52.7,Ann Arbor Skyline,Hudson Mills,2020
Emiko Sano,20:54.2,Ann Arbor Huron,Hudson Mills,2020
Elena Wheeler,20:59.2,Salem,Hudson Mills,2020
Esha Bingi,21:09.6,Salem,Hudson Mills,2020
Chloe Sprague,21:15.2,Dexter,Hudson Mills,2020
Sasha Fox,21:20.6,Plymouth,Hudson Mills,2020
Claudia Swenson,21:25.1,Plymouth,Hudson Mills,2020
Taylor Steinagel,21:30.0,Canton,Hudson Mills,2020
Mia Solomon,21:31.2,Ann Arbor Huron,Hudson Mills,2020
Quinn Hilla,21:34.3,Dexter,Hudson Mills,2020
Asmita Tuladhar,21:43.0,Canton,Hudson Mills,2020
Audrey Wells,21:50.5,Ann Arbor Skyline,Hudson Mills,2020
Hannah McComas,21:59.6,Dexter,Hudson Mills,2020
Sofia Figueroa,22:00.3,Wayne Memorial,Hudson Mills,2020
Sonya Shelgikar,22:03.1,Ann Arbor Huron,Hudson Mills,2020
Sierra Lubetkin,22:10.0,Ann Arbor Skyline,Hudson Mills,2020
Annissa Sisson,22:11.8,Dexter,Hudson Mills,2020
Faith Jones,22:28.5,Dexter,Hudson Mills,2020
Rose Basch,22:37.1,Ann Arbor Huron,Hudson Mills,2020
Abigail Fox,23:09.4,Dexter,Hudson Mills,2020
Frances Walewski,23:25.8,Salem,Hudson Mills,2020
Skyila Shuryan,23:59.3,Wayne Memorial,Hudson Mills,2020
Rita Seidl,24:30.8,Ann Arbor Huron,Hudson Mills,2020
Jael Smith,24:34.9,Wayne Memorial,Hudson Mills,2020
Rachel Forsyth,17:38.0,Ann Arbor Pioneer,Indian Creek,2020
Madison Foster,17:49.7,Temperance Bedford,Indian Creek,2020
Cookie Baugh,18:07.4,Ann Arbor Pioneer,Indian Creek,2020
Lydia Alig,18:43.1,Saline,Indian Creek,2020
Viktoria Bloniarz,19:01.2,Monroe,Indian Creek,2020
Madison Stern,19:01.8,Saline,Indian Creek,2020
Charlotte Batra,19:05.7,Ann Arbor Pioneer,Indian Creek,2020
Madi Wood,19:08.7,Saline,Indian Creek,2020
Sarah Forsyth,19:26.3,Ann Arbor Pioneer,Indian Creek,2020
Claire Endres,19:29.7,Saline,Indian Creek,2020
Sylvia Sanok Dufallo,19:43.3,Ann Arbor Pioneer,Indian Creek,2020
Aubrey Stager,19:44.0,Saline,Indian Creek,2020
Emily Cooper,19:45.0,Ann Arbor Pioneer,Indian Creek,2020
Laney Alig,19:55.4,Saline,Indian Creek,2020
Lauren Sancrant,19:57.1,Temperance Bedford,Indian Creek,2020
Alyssa Dorn,20:08.2,Temperance Bedford,Indian Creek,2020
Sienna Schotten,20:09.6,Ypsilanti Lincoln,Indian Creek,2020
Lucy Woehlke,20:17.1,Saline,Indian Creek,2020
